	TCGA.BF.A1PX	TCGA.EB.A431	TCGA.EB.A44N	TCGA.EB.A51B	TCGA.FS.A1ZE	TCGA.D9.A6EC	TCGA.FS.A1Z0	TCGA.BF.AAP6	TCGA.BF.AAP8	TCGA.EB.A1NK	TCGA.EB.A3HV	TCGA.EB.A4XL	TCGA.EB.A6R0	TCGA.FR.A728	TCGA.FS.A1ZA	TCGA.FS.A1ZN	TCGA.GF.A769	TCGA.D3.A8GK	TCGA.DA.A1I5	TCGA.DA.A1IA	TCGA.ER.A2ND	TCGA.FS.A1YY	TCGA.GN.A4U3	TCGA.YD.A89C
?|100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|100133144	1.54	22.63	10.07	5.55	49.37	28.36	12.41	14.09	0	4.14	0.02	5.02	81.43	15.33	40.28	27.05	71.03	29.85	0	0	2.74	0	26.18	42.52
?|100134869	3.46	11.37	9.93	2.45	55.63	17.64	14.59	14.91	9	10.86	4.98	5.98	40.57	4.67	35.72	33.95	95.97	24.15	9	3	5.26	9	39.82	156.48
?|10357	348.7	224.78	199.88	349.93	609.24	432.46	1147.22	357.07	154.14	284.33	203.59	311.99	423.77	203.51	429.91	469.63	422.54	146.37	433.42	49.59	190.99	576.14	403.7	594.26
?|10431	2283	2420	840	2287	1487	1334	2460	1470	2399	3804	1295	1318	1621	2819	2697	1324	3762	1616	2001	1389	3803	2265	1096	1816
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	114	333	354	725	645	298	613	876	512	376	204	644	3221	594	1149	920	596	252	172	186	343	628	1071	626
?|26823	0	1	1	2	4	0	2	1	1	1	0	3	2	1	1	0	0	2	0	0	0	0	1	0
?|280660	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	1	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|340602	0	0	2	0	0	0	3	6	1	0	4	0	123	2	14	0	3	5	10	0	1	0	0	0
?|388795	3	5	2	1	1	0	2	2	0	0	1	1	10	0	2	0	12	3	4	0	9	1	2	1
?|390284	9	25	13	12	16	17	20	6	11	18	30	20	14	16	17	34	11	4	10	21	58	21	15	17
?|391343	0	0	0	0	5	2	0	1	0	0	0	0	0	0	0	1	0	0	31	0	0	0	2	0
?|391714	0	1	0	0	0	0	0	1	0	1	0	2	2	0	0	1	0	0	0	1	3	4	1	0
?|404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|553137	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|57714	1830	2616	791	1017	1608	708	2217	2916	233	2145	847	1013	7009	1370	3961	1258	1030	812	1734	3428	581	1348	1391	173
?|645851	9	29	15	22	19	20	18	69	5	4	7	39	116	26	61	40	60	8	8	6	17	14	48	21
?|652919	0	0	0	0	55	0	65.8	4	21	0	0	0	0	0	24.6	36	135	2	0	0	0	0	0	5
?|653553	2386	930	1180	1217	599	1999	538	963	1214	3440	2698	1272	853	1207	782	1378	1284	458	1637	1305	3493	1587	1220	1132
?|728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728788	0	0	11	0	2	0	3	0	0	0	5	45	2	0	5	1	3	0	1	0	0	0	4	0
?|729884	2	4	100	3	2	0	0	3	0	6	93	60	0	7	71	652	0	0	2	0	0	1	2	0
?|8225	2570	569	1038	1081	911	4673	1440	2579	1379	3151	3470	1895	2151	2830	2210	1292	1864	916	1816	2179	1714	2814	2791	1559
?|90288	6	7	5	2	1	40	23	7	0	11	7	9	6	14	46	5	8	10	2	47	12	11	9	2
A1BG|1	820.12	360.44	342.62	420.46	624.09	375.5	452.96	1036.88	1965.29	1299	527	545.03	546.01	1224.24	626.57	703.62	281.36	471.73	675.89	746.94	811.47	615.08	647.57	425.71
ABCA1|19	1310	2107	1223.97	3657	1092.97	1931	2660.95	2224.89	1497	6536	1933	1577.96	1927.92	4381.97	481	4611.97	1926.93	656.91	1405	196	1726	931.97	383	759.93
ABCC12|94160	3	0	0	0	0	0	0	0	36	0	0	8	17	0	0	15	1	0	0	0	2	0	0	0
ABHD14A|25864	2553.5	448	618	461.25	444.34	1745.43	635.74	1973.41	856.45	1674	2129.5	967	903.36	1265	982.87	1237.46	1318	745.02	619	2799	1468	2693.4	933	546
ADIPOQ|9370	1	0	5	0	399	1	46	0	0	0	0	1	1	1	154	0	0	0	1	0	1	503	1	0
ADSS|159	3077	3033	3536	4450	5544	5420	6719	9758	1286	4979	2668	2888	4728	3336	7566	6868	6595	4402	6326	1735	2276	6197	3748	3608
BST2|684	17724	5910	4558	1909	283	38461	8915	12158	4511	1280	11628	7351	44326	29444	1297	1550	6213	715	11180	7739	1313	803	10725	375
BTN2A2|10385	2593	2450	2282	8283	5427	2706	2530	1376	1174	3073	1298	3709	8501	5015	2284	9850	2583	949	2479	1374	1464	3395	2534	1033
C20orf152|140894	2	14	3	8	791	7	1	5	10	15	4	3	1	2	4	1	9	3	3	0	3	5	1	4
C20orf7|79133	475	323	231	563	970	777	527	688	495	416	228	297	708	218	480	476	516	119	573	73	1112	1695	405	541
C4orf40|401137	0	0	9	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C5orf35|133383	495	629	195	206	925	71	249	433	94	467	252	379	349	358	530	305	474	347	143	272	348	597	354	416
CDCA4|55038	2555	1789	1484	1758	1295	2007	2440	3878	697	1604	1726	1986	2177	1800	2826	1635	3867	3271	1411	1928	1169	2623	1295	1732
CDHR1|92211	2136	20	1001	61	6	1	18	6	18	558	693	1136	23	24	17	231	2	45	26	46	18	5	0	1
CIB2|10518	506	420	287	226	324	1057	443	1501	484	3424	711	302	482	160	1174	331	3084	1470	931	2043	736	884	876	2865
CIDEC|63924	3.36	3	4	3.44	88	14	8.64	1	1.13	4.46	0	2	3.04	1	37	13.11	1.2	3.67	9	8.11	23	102	2	3.49
CKM|1158	6	1	3	4	1	2	7	15	2	8	6	1	15	9	12	2	0	0	12	3	7	9	0	1
CLASP1|23332	5695	2533	2912	3703	9573	3092	6388	6219	1924	6220	5324	4042	3138	3467	6635	7953	7038	5542	3458	2445	2303	4388	3801	7269
CLDN16|10686	3	4	1	1	0	15	0	1	0	0	2	2	3	2	0	3	0	0	1	0	0	0	0	0
CLEC2A|387836	11	2	9	0	0	0	0	1	0	16	2	42	1	2	0	1	0	0	0	0	0	0	0	0
CXCL10|3627	3158	405	1086	7478	125	1449	6855	130	127	275	23	4238	31134	3035	1479	154	122	3	2894	10	402	43	83	48
CXCL9|4283	12518	889	2469	6975	975	910	25277	141	284	869	137	8600	10459	3132	11030	234	151	52	17003	68	2526	160	202	182
CXorf40B|541578	1598	2677	724	1676	1257	2377	1031	1461	422	1781	1151	1269	1580	1362	1273	1317	937	630	1692	1847	945	2164	621	1094
CXorf61|203413	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CYP1A1|1543	72	590	920	8	31	31	1	92	56	88	140	104	18	738	40	102	45	10	202	23	303	331	3	9
CYP3A4|1576	15	4	11	1	4	37	0	1	1940	3	2	7	4	0	0	5	2	0	1	0	1	0	0	2
CYS1|192668	198	2	52	7	57	28	6	37	17	75	84	38	7	29	6	5	4	4	44	47	56	86	781	3
DALRD3|55152	1915.55	2265.38	1057.05	2582.37	2816.24	3489.64	1324.02	2822.51	639.79	5425.8	2625.85	1421.5	2419.84	2229.35	2806.73	2376.83	1568.95	2178.82	1387.53	4220.75	1420.85	4123.89	2704.56	1825.27
DGAT2|84649	1291	60	2143	662	490	2105	60	1513	395	772	2561	1723	953	486	890	588	279	515	153	494	318	385	3	83
DHODH|1723	289	563	360	701	433	852	392	940	467	1484	552	442	485	606	1198	729	724	629	796	520	257	1105	490	625
EVX1|2128	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
EXT1|2131	3631	1229	2024	1549	1828	2701	3713	3142	3596	5060	2774	2224	2173	3061	1813	2289	1523	1879	2355	1425	3694	4136	1983	5028
FAM75C1|441452	1	2	0	0	2	0	126	1	0	0	0	0	0	1	32	1	0	0	0	0	0	0	0	102
FAM90A1|55138	28	11	36	9	0	4	27	44	6	25	186	156	3	9	3	146	2	65	53	6	200	4	0	0
GAGE2C|2574	0	0	0	0	0	346.46	0	20.61	0	9.74	0	0	165.65	70.89	4.58	0	2.94	0	8.4	4.3	0	0	0	0
GALNTL1|57452	173	21	212	15	200	8	64	11	56	61	114	36	16	15	138	29	7	2	74	195	35	149	24	9
GJD4|219770	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1
GLMN|11146	244	263	294	367	294	684	618	580	469	243	53	402	475	205	627	530	406	129	341	2	246	760	463	400
GPAT2|150763	133	16	67	6913	3868	49	28	14	19	85	74	93	19	100	31	39	9	4	101	53	51	95	20	9
GPN2|54707	958	1442	586	680	798	1673	683	1296	229	1751	1325	423	580	984	1376	966	696	849	1131	1448	473	754	1213	594
HLA-DQA1|3117	4054	802	2934	101019	1071	2200	11324	2378	656	3151	9127	2136	16384	5235	3433	1887	195	229	6785	164	1465	550	361	588
HMGB4|127540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGXB4|10042	1156	1809	941	943	3130	2028	2367	2418	616	1467	840	1173	1598	1178	3314	1637	2258	1101	1449	338	1066	1070	1407	1589
HNRNPH2|3188	5863	5532	4021	7523	6211	8303	8584	8974	4803	8999	6131	4629	9147	7968	7740	8051	4596	4639	7024	4347	6909	9439	3507	4579
IFI6|2537	40631	19944	10002	7238	775	85592	2318	23515	2793	5950	23454	7908	73557	47540	4546	6932	8285	2049	4235	12817	11415	1091	5444	233
IFITM1|8519	27669	1227	5779	34766	875	20308	12294	1524	1610	4165	15114	8597	92764	23965	2512	6616	8869	804	5239	1511	1776	3200	778	2335
IFNG|3458	163	2	4	27	3	6	180	2	3	11	1	30	259	61	79	9	3	0	37	0	25	2	2	1
IFT122|55764	1325	1016	749	891	2227	3140	1577	1462	266	4008	1719	1896	1731	653	3073	1469	1555	670	1140	3333	1128	2197	1798	1340
IFT172|26160	773	1320	802	1536	1055	2429	2259	1131	998	2038	2554	2080	1628	1313	3209	1822	2075	1427	832	3529	1689	1969	2132	3188
IFT80|57560	334.66	2272.04	765.33	716	2509.97	2627.87	1824.11	1499.05	210.07	710.59	297.71	1102.8	2301.99	1059.03	2105.33	2653.94	1560.07	381	584.43	104	1620.19	1597.73	2343	899.68
IGFL1|374918	2741	0	2142	498	0	0	0	0	0	1747	129	673	1	0	3	156	0	0	0	1	0	3	0	0
